key,value_type,count,sample_value
categories:10695,object,null,"{""id"": ""10695"", ""code"": ""10695"", ""name"": ""Pastry Cutters and Rollers"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/pastry-cutters-and-rollers"", ""slug"": ""pastry-cutters-and-rollers"", ""i"
categories:10701,object,null,"{""id"": ""10701"", ""code"": ""10701"", ""name"": ""Shaped Moulds"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/kitchen-moulds/shaped-moulds"", ""slug"": ""shaped-moulds"", ""image"": ""https://media.ni"
categories:10704,object,null,"{""id"": ""10704"", ""code"": ""10704"", ""name"": ""Spatulas and Turners"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/cooking-and-serving-utensils/spatulas-and-turners"", ""slug"": ""spatulas-and-t"
categories:10710,object,null,"{""id"": ""10710"", ""code"": ""10710"", ""name"": ""Conical Strainers and Chinois"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/colanders-strainers-and-salad-spinners/conical-strainers-and-chino"
categories:10733,object,null,"{""id"": ""10733"", ""code"": ""10733"", ""name"": ""Food Labels"", ""path"": ""consumables/food-labelling-and-wrapping/food-labelling/food-labels"", ""slug"": ""food-labels"", ""image"": ""https://media.nisbets.com/asset/a"
categories:10734,object,null,"{""id"": ""10734"", ""code"": ""10734"", ""name"": ""Mousse and Chef Rings"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/kitchen-moulds/mousse-and-chef-rings"", ""slug"": ""mousse-and-chef-rings"", ""i"
categories:10737,object,null,"{""id"": ""10737"", ""code"": ""10737"", ""name"": ""Slicers, Lifters and Skimmers"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/cooking-and-serving-utensils/slicers-lifters-and-skimmers"", ""slug"""
categories:10742,object,null,"{""id"": ""10742"", ""code"": ""10742"", ""name"": ""Kitchen Scissors and Secateurs"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/cooking-and-serving-utensils/kitchen-scissors-and-secateurs"", ""sl"
categories:10744,object,null,"{""id"": ""10744"", ""code"": ""10744"", ""name"": ""Pudding Basins"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/kitchen-moulds/pudding-basins"", ""slug"": ""pudding-basins"", ""image"": ""https://media"
categories:10745,object,null,"{""id"": ""10745"", ""code"": ""10745"", ""name"": ""Pastry and Dough Scrapers"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/pastry-and-baking-utensils/pastry-and-dough-scrapers"", ""slug"": ""pastry"
categories:10747,object,null,"{""id"": ""10747"", ""code"": ""10747"", ""name"": ""Muffin Pans"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/bakeware/muffin-pans"", ""slug"": ""muffin-pans"", ""image"": ""https://media.nisbets.com/as"
categories:10748,object,null,"{""id"": ""10748"", ""code"": ""10748"", ""name"": ""Cake Tins"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/bakeware/cake-tins"", ""slug"": ""cake-tins"", ""image"": ""https://media.nisbets.com/asset/au"
categories:10754,object,null,"{""id"": ""10754"", ""code"": ""10754"", ""name"": ""Ice Cream and Food Scoops"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/cooking-and-serving-utensils/ice-cream-and-food-scoops"", ""slug"": ""ice-"
categories:10756,object,null,"{""id"": ""10756"", ""code"": ""10756"", ""name"": ""Potato Mashers and Ricers"", ""path"": ""kitchenware-and-storage/kitchen-utensils-and-tools/cooking-and-serving-utensils/potato-mashers-and-ricers"", ""slug"": ""pota"
categories:10765,object,null,"{""id"": ""10765"", ""code"": ""10765"", ""name"": ""Ramekins"", ""path"": ""kitchenware-and-storage/pastry-and-baking-supplies/kitchen-moulds/ramekins"", ""slug"": ""ramekins"", ""image"": ""https://media.nisbets.com/asset"
categories:1077,object,null,"{""id"": ""1077"", ""code"": ""1077"", ""name"": ""Bug Zappers"", ""path"": ""cleaning-and-hygiene/bug-zappers"", ""slug"": ""bug-zappers"", ""image"": ""https://media.nisbets.com/asset/au/category/grid_large/1077.jpg"", ""le"
categories:10800,object,null,"{""id"": ""10800"", ""code"": ""10800"", ""name"": ""Disposable Gloves"", ""path"": ""kitchenware-and-storage/cloths-and-gloves/disposable-gloves"", ""slug"": ""disposable-gloves"", ""image"": ""https://media.nisbets.com/as"
categories:10801,object,null,"{""id"": ""10801"", ""code"": ""10801"", ""name"": ""Tea Towels and Cloths"", ""path"": ""kitchenware-and-storage/cloths-and-gloves/tea-towels-and-cloths"", ""slug"": ""tea-towels-and-cloths"", ""image"": ""https://media.ni"
categories:10804,object,null,"{""id"": ""10804"", ""code"": ""10804"", ""name"": ""Vacuum Sealers"", ""path"": ""commercial-kitchen-machines/food-preparation-equipment/vacuum-sealers"", ""slug"": ""vacuum-sealers"", ""image"": ""https://media.nisbets.co"
categories:10810,object,null,"{""id"": ""10810"", ""code"": ""10810"", ""name"": ""Napkin Dispensers"", ""path"": ""tableware-and-bar-supplies/tabletop/napkin-dispensers"", ""slug"": ""napkin-dispensers"", ""image"": ""https://media.nisbets.com/asset/au"
categories:10823,object,null,"{""id"": ""10823"", ""code"": ""10823"", ""name"": ""Platform Trucks"", ""path"": ""kitchenware-and-storage/trolleys/platform-trucks"", ""slug"": ""platform-trucks"", ""image"": ""https://media.nisbets.com/asset/au/category"
categories:10825,object,null,"{""id"": ""10825"", ""code"": ""10825"", ""name"": ""Anti Slip Trays and Stands"", ""path"": ""tableware-and-bar-supplies/service-trays/anti-slip-trays-and-stands"", ""slug"": ""anti-slip-trays-and-stands"", ""image"": ""ht"
categories:10828,object,null,"{""id"": ""10828"", ""code"": ""10828"", ""name"": ""Fast Food Trays"", ""path"": ""tableware-and-bar-supplies/service-trays/fast-food-trays"", ""slug"": ""fast-food-trays"", ""image"": ""https://media.nisbets.com/asset/au/"
categories:10833,object,null,"{""id"": ""10833"", ""code"": ""10833"", ""name"": ""Queue Barriers"", ""path"": ""furniture/queue-barriers"", ""slug"": ""queue-barriers"", ""image"": ""https://media.nisbets.com/asset/au/category/grid_large/10833.jpg"", ""l"
categories:10847,object,null,"{""id"": ""10847"", ""code"": ""10847"", ""name"": ""Polycarbonate Crockery"", ""path"": ""tableware-and-bar-supplies/crockery/melamine-and-polycarbonate-crockery/polycarbonate-crockery"", ""slug"": ""polycarbonate-croc"
categories:10871,object,null,"{""id"": ""10871"", ""code"": ""10871"", ""name"": ""Stainless Steel Teapots"", ""path"": ""tableware-and-bar-supplies/beverage-service/teapots/stainless-steel-teapots"", ""slug"": ""stainless-steel-teapots"", ""image"": """
