Name,Slug,Code,Path,Full Path,Level,Parent,Image URL,Product Count,Has Children
Polycarbonate GN Pans,polycarbonate-gn-pans,14141,kitchenware-and-storage/gastronorms/polycarbonate-gn-pans,Kitchenware & Storage > Gastronorms > Polycarbonate GN Pans,3,Gastronorms,https://media.nisbets.com/asset/au/category/grid_large/14141.jpg,0,Yes
Sink Taps,sink-taps,9320,kitchenware-and-storage/sinks-and-wash-basins/sink-taps,Kitchenware & Storage > Sinks and Wash Basins > Sink Taps,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9320.jpg,0,Yes
Sinks with Right Hand Drainer,sinks-with-right-hand-drainer,9128,kitchenware-and-storage/sinks-and-wash-basins/sinks-with-right-hand-drainer,Kitchenware & Storage > Sinks and Wash Basins > Sinks with Right Hand Drainer,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9128.jpg,0,Yes
Sinks with Left Hand Drainer,sinks-with-left-hand-drainer,9202,kitchenware-and-storage/sinks-and-wash-basins/sinks-with-left-hand-drainer,Kitchenware & Storage > Sinks and Wash Basins > Sinks with Left Hand Drainer,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9202.jpg,0,Yes
Sinks with Double Drainer,sinks-with-double-drainer,9201,kitchenware-and-storage/sinks-and-wash-basins/sinks-with-double-drainer,Kitchenware & Storage > Sinks and Wash Basins > Sinks with Double Drainer,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9201.jpg,0,Yes
Pre Rinse Jets and Sprays,pre-rinse-jets-and-sprays,11514,kitchenware-and-storage/sinks-and-wash-basins/pre-rinse-jets-and-sprays,Kitchenware & Storage > Sinks and Wash Basins > Pre Rinse Jets and Sprays,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/11514.jpg,0,Yes
Pot Washing Sinks,pot-washing-sinks,9205,kitchenware-and-storage/sinks-and-wash-basins/pot-washing-sinks,Kitchenware & Storage > Sinks and Wash Basins > Pot Washing Sinks,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9205.jpg,0,Yes
Pitcher and Glass Rinsers,pitcher-and-glass-rinsers,14812,kitchenware-and-storage/sinks-and-wash-basins/pitcher-and-glass-rinsers,Kitchenware & Storage > Sinks and Wash Basins > Pitcher and Glass Rinsers,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/14812.jpg,0,Yes
Janitoral Sinks,janitoral-sinks,11328,kitchenware-and-storage/sinks-and-wash-basins/janitoral-sinks,Kitchenware & Storage > Sinks and Wash Basins > Janitoral Sinks,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/11328.jpg,0,Yes
Hand Wash Basins,hand-wash-basins,9204,kitchenware-and-storage/sinks-and-wash-basins/hand-wash-basins,Kitchenware & Storage > Sinks and Wash Basins > Hand Wash Basins,3,Sinks and Wash Basins,https://media.nisbets.com/asset/au/category/grid_large/9204.jpg,0,Yes
Washroom and Toilet Cleaner,washroom-and-toilet-cleaner,14422,cleaning-and-hygiene/cleaning-chemicals/washroom-and-toilet-cleaner,Cleaning & Hygiene > Cleaning Chemicals > Washroom and Toilet Cleaner,3,Cleaning Chemicals,https://media.nisbets.com/asset/au/category/grid_large/14422.jpg,0,Yes
